,id,feature,交房时间,产权年限,优惠折扣,占地面积,参考单价,售楼地址,在售户型,地上车位数,地下车位数,容  积  率,工程进度,建筑类型,建筑面积,开  发  商,投  资  商,最低首付,最新开盘,楼层状况,楼盘地址,楼盘总价,物  业  费,物业公司,环线配置,绿  化  率,装修标准,规划用户,车  位  数,车  位  比,销售情况
65,新福港鼎峰,"['项目在建', '轨交房', '装修交付', '人车分流', '购物中心', '公园', '学校', '银行', '便利店', '配套纯熟']",2019-12-31,住宅 70年 商业 40年,暂无数据,81000m²,"住宅21000元/㎡, 商业18000元/㎡",禅城区魁奇路与汾江南路交汇处，魁奇路地铁站C出口,2室户型(1)，3室户型(11)，4室户型(1)，商业户型(1),暂无数据,暂无数据,"住宅:6,商业:6",在建中，竣工时间：2018-12-31,住宅:高层 商业 高层,551720m²,佛山市新运泰房地产开发有限公司,新福港集团,住宅 80.4万（首付比例：30%)，商业 36万（首付比例：50%),2018-12-23,A1-A6、A9为住宅（最高楼层37-51），A7-A8为公寓（最高楼层36、44）,[禅城-祖庙]汾江南路,"住宅268-281万元/套, 商业72-131万元/套",住宅:2.98元/平米/月 商业:3.8元/平米/月,成都曲氏英联华物业服务有限公司佛山分公司,暂无数据,25%,暂无数据,748户,2824个,1:3.8,在售
66,北大资源博雅滨江,"['低单价', '项目在建', '高绿化率', '大型社区', '人车分流', '公园', '厨卫全明', '大户型', '双卫生间', '主卧套房']",2020-08-31,住宅 70年,暂无数据,199266m²,住宅9800元/㎡,佛山市三水区西南街道文锋西路花果山,3室户型(7)，4室户型(11)，5室户型(2),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2019-06-30,住宅:高层,950000m²,佛山北大资源地产有限公司,佛山北大资源地产有限公司,住宅 35.1万（首付比例：30%),2018-12-22,楼高32层，2梯2户设计；楼高31层，2梯4户。,[三水-西南]文锋西路,住宅117-125万元/套,住宅:2.28元/平米/月,北大资源集团北京方诚物业经营管理有限公司,暂无数据,50%,暂无数据,5371户,5978个(暂无资料),1:1.1,在售
67,远洋华远天骄,"['低单价', '项目在建', '装修交付', '品牌开发商', '大型社区', '人车分流', '南北通透', '厨卫全明', '双卫生间', '双阳台']",2020-08-31,住宅 70年,暂无数据,69061m²,住宅11500元/㎡(单价范围 11500-12500元/㎡),佛山市三水区云东海街道三水新城湖滨南路,3室户型(2)，4室户型(1),暂无数据,暂无数据,住宅:3,在建中，竣工时间：2019-12-31,住宅:高层,2754181m²,佛山市华尚致远房地产开发有限公司,暂无数据,住宅 30.9万（首付比例：30%),2018-12-22,13栋高层住宅，呈围合式分布，其中10栋33层高，2栋18层高，还有1栋32层高,[三水-三水新城]湖滨南路,住宅103-150万元/套,住宅:2.28元/平米/月,远洋亿家物业服务股份有限公司佛山分公司,暂无数据,35%,暂无数据,2054户,2082个,1:1.01,在售
68,龙光玖誉府,"['低单价', '项目在建', '装修交付', '品牌开发商', '大型社区', '人车分流', '学校', '便利店', '南北通透', '厨卫全明']",2020-09-30,住宅 70年,暂无数据,65800m²,住宅11500元/㎡,三水乐平齐力大道北（乐平中心小学旁）,3室户型(2)，4室户型(2),暂无数据,暂无数据,住宅:2.7,在建中，竣工时间：2019-03-31,住宅:高层,230000m²,佛山市三水区龙光骏驰房地产有限公司,龙光地产,住宅 30.9万（首付比例：30%),2018-12-01,13栋高层住宅，32层高,[三水-乐平]齐力大道北（乐平中心小学旁）,住宅103-129万元/套,住宅:2.28元/平米/月,广东龙光集团物业管理有限公司佛山分公司,暂无数据,31%,暂无数据,1556户,1556个,1:1,在售
69,连城湾,"['项目在建', '装修交付', '车位充足', '购物中心', '公园', '学校', '便利店', '配套纯熟', '南北通透', '厨卫全明']",预计2020年5月交房,住宅 70年,暂无数据,18000m²,住宅18500元/㎡,佛山市南海区大沥镇盐步荣阳大街22号,3室户型(4)，4室户型(4),暂无数据,200,住宅:3.5,在建中，竣工时间：2018-07-30,住宅:高层,90000m²,佛山市广瑞房地产开发有限公司,佛山市广瑞房地产开发有限公司,住宅 48.6万（首付比例：30%),2018-06-09,层高22-23层，一共6栋。两梯4户,[南海-大沥]荣阳大街22号,住宅162-251万元/套,住宅:2.38元/平米/月,深圳市金地物业管理有限公司,暂无数据,35%,暂无数据,608户,200个,1:0.3,在售
70,时代领峰,"['项目在建', '装修交付', '品牌开发商', '大型社区', '人车分流', '学校', '厨卫全明', '大户型', '双卫生间', '双阳台']",2019-10-31,住宅 70年,暂无数据,118000m²,住宅18000元/㎡,佛山市南海区狮山桂丹路与三环东路交汇处,3室户型(3),暂无数据,暂无数据,住宅:3,在建中，竣工时间：2017-01-01,住宅:高层,396000m²,佛山市时代睿达房地产开发有限公司,暂无数据,住宅 51.3万（首付比例：30%),2018-03-27,规划有16栋31-32层高层洋房，两梯六户和两梯四户设计，产品面积段为85-140㎡,[南海-狮山]桂丹路与三环东路交汇处,住宅171-252万元/套,住宅:2.88元/平米/月,时代物业管理有限公司,暂无数据,30%,暂无数据,2580户,2638个,1:1.02,在售
71,雅瑶绿洲星悦湾,"['今年交房', '项目在建', '装修交付', '大型社区', '学校', '厨卫全明', '大户型', '大阳台', '双卫生间', '主卧套房']",2020-09-30,住宅 70年 别墅 70年,暂无数据,247987m²,"住宅17888-21000元/㎡, 别墅待定",佛山市南海区大沥镇雅瑶（南海碧桂园旁）,3室户型(2)，4室户型(2)，别墅户型(4),暂无数据,暂无数据,"住宅:1.1,别墅:1.1",在建中，竣工时间：2019-08-31,住宅:高层 别墅:独栋别墅 联排别墅 双拼别墅,357753m²,佛山市南海信达房地产有限公司,佛山市南海信达房地产有限公司,住宅 53.4万（首付比例：30%),2018-09-18,小高层 城市艺墅,[南海-大沥]桂和路,住宅178-378万元/套,住宅:2.4元/平米/月 别墅:2.6-3.6元/平米/月,广州市创浚物业管理有限公司南海分公司,暂无数据,35%,暂无数据,1720户,2192个,1:1.3,在售
72,万科金域滨江,"['项目在建', '装修交付', '车位充足', '厨卫全明', '大户型', '双卫生间', '主卧套房', '今年交房', '热搜盘', '热销盘']",2020-06-30,住宅 70年,暂无数据,110000m²,住宅19000-23000元/㎡,佛山市顺德区大良新城区F06地块（喜来登旁边）,3室户型(2)，4室户型(8),暂无数据,500,住宅:2.74,在建中，竣工时间：2019-12-30,住宅:高层,600000m²,佛山市顺德区万科置业有限公司,佛山市万科置业有限公司,住宅 51.3万（首付比例：30%),2018-09-29,楼高34层、43层、45层、47层,[顺德-大良]德胜中路13号,住宅171-331万元/套,住宅:3.1元/平米/月,万科物业发展有限公司,暂无数据,30%,暂无数据,1500户,500个,1:0.3,在售
73,时代星英御岛,"['项目在建', '装修交付', '品牌开发商', '学校', '南北通透', '厨卫全明', '大户型', '双卫生间', '双阳台', '今年交房']",2020-06-30,住宅 70年,暂无数据,37828m²,住宅21000元/㎡,佛山市佛山新城花卉世界旁（华阳桥北侧）,3室户型(5)，4室户型(4)，5室户型(1),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2019-11-30,住宅:高层,186500m²,佛山市星英房地产开发有限公司,暂无数据,住宅 72万（首付比例：30%),2018-07-28,10栋30-31层高层住宅,[顺德-佛山新城]花卉世界旁（华阳桥北侧）,住宅240-330万元/套,住宅:2.6元/平米/月,广州宜家创生物业管理有限公司佛山分公司,暂无数据,35%,暂无数据,978户,1477个,1:1.5,在售
74,三水时代倾城,"['低单价', '项目在建', '装修交付', '品牌开发商', '大型社区', '购物中心', '南北通透', '厨卫全明', '大户型', '大阳台']",首批2020年6月15日交楼,住宅 70年,暂无数据,140000m²,住宅9000元/㎡(单价范围 8500-9500元/㎡),佛山市三水区大塘镇大㘵沙锦塘路8号,3室户型(5)，4室户型(3),暂无数据,暂无数据,住宅:2.24,在建中，竣工时间：2019-05-30,住宅:高层,388250m²,佛山市盛唐房地产发展有限公司,暂无数据,住宅 24万（首付比例：30%),2019-03-23,16-25层,[三水-大塘]大㘵沙锦塘路8号,住宅80-123万元/套,住宅:1.6元/平米/月,时代物业管理服务有限公司,暂无数据,35%,暂无数据,3050户,3234个,1:1,在售
75,招商熙园,"['今年交房', '低单价', '项目在建', '装修交付', '品牌开发商', '低容积', '车位充足', '人车分流', '南北通透', '厨卫全明']",2020-03-31,住宅 70年,暂无数据,60112m²,住宅8400元/㎡(单价范围 8000-8800元/㎡),高明区荷城街道沧江南路,3室户型(2)，4室户型(2),暂无数据,暂无数据,住宅:1.5,在建中，竣工时间：2019-08-30,住宅:小高层,27884m²,佛山招商翰林房地产有限公司,招商地产,住宅 27.9万（首付比例：30%),2018-12-15,楼高11层，1梯2户,[高明-荷城]沧江南路,住宅93-256万元/套,住宅:2.47元/平米/月,招商局物业管理有限公司佛山分公司,暂无数据,30%,暂无数据,786户,749个,1:0.9,在售
76,太平洋国际,"['项目在建', '装修交付', '车位充足', '人车分流', '商业街', '银行', '便利店', '厨卫全明', '大户型', '双卫生间']",2019-06-30,住宅 70年,暂无数据,60934m²,住宅23500元/㎡(单价范围 23000-24000元/㎡),顺德陈村赤花村白陈路太平洋国际花园（兰花市场附近）,2室户型(1)，3室户型(3)，4室户型(2),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：2016-12-30,住宅:高层,218359m²,佛山市顺德区太保置业开发有限公司,佛山市顺德区太保置业开发有限公司,住宅 58.5万（首付比例：30%),2018-12-15,高层,[顺德-陈村]陈村大道,住宅195-216万元/套,住宅:2元/平米/月,广州金匙房地产物业服务有限公司,暂无数据,30%,暂无数据,1330户,100个,1:0.1,在售
77,招商悦府,"['低单价', '项目在建', '装修交付', '大型社区', '人车分流', '医院', '银行', '南北通透', '厨卫全明', '大阳台']",预计2020年年中交房,住宅 70年,暂无数据,81356m²,住宅12500元/㎡(单价范围 12000-13000元/㎡),佛山市南海区九江镇沙龙路（佛开高速沙头出口旁）,3室户型(1)，4室户型(1),暂无数据,暂无数据,住宅:2.85,在建中，竣工时间：2019-12-31,住宅:高层,231867m²,佛山招商光华房地产有限公司,佛山招商光华房地产有限公司,住宅 34.5万（首付比例：30%),2018-09-01,32层，2梯6户,[南海-九江]沙龙路（佛开高速沙头出口旁）,住宅115-156万元/套,住宅:2.47元/平米/月,招商局物业管理有限公司,暂无数据,30%,暂无数据,2168户,2168个,1:1,在售
78,保利碧桂园天汇,"['项目在建', '装修交付', '品牌开发商', '大型社区', '人车分流', '购物中心', '便利店', '厨卫全明', '大户型', '大阳台']",2020-11-30,住宅 70年,暂无数据,136354m²,住宅21000元/㎡(单价范围 21000-23000元/㎡),佛山市禅城区魁奇路南侧、桂澜路东侧,2室户型(1)，3室户型(2)，4室户型(5)，5室户型(1),暂无数据,暂无数据,住宅:3.83,在建中，竣工时间：2018-12-31,住宅:高层,522000m²,保利华南实业有限公司 碧桂园地产,保利地产、碧桂园地产,住宅 111.9万（首付比例：30%),2018-12-14,30-32层高层洋房,[禅城-城南]桂澜路与东平路交汇处沿东平路前行100米,住宅373-409万元/套,住宅:3元/平米/月,碧桂园物业,暂无数据,27%,暂无数据,1940户,2150个,1：1.25,在售
79,碧桂园凤凰湾望江府,"['低单价', '项目在建', '装修交付', '品牌开发商', '金牌物业', '大型社区', '人车分流', '江景地产', '学校', '南北通透']",预计2019年年底交房,住宅 70年,暂无数据,170000m²,住宅13000元/㎡,佛山市顺德区容桂广东实验中学顺德学校附属小学旁,3室户型(1)，4室户型(2)，5室户型(1),暂无数据,暂无数据,住宅:4,在建中，竣工时间：2019-02-28,住宅:高层,680000m²,佛山市顺德区容桂土地发展有限公司,暂无数据,住宅 39万（首付比例：30%),2018-11-24,28、29、32层,[顺德-容桂]广东实验中学顺德学校附属小学旁,住宅130-358万元/套,住宅:2.8元/平米/月,广东碧桂园物业服务有限公司容桂分公司,暂无数据,35%,暂无数据,2003户,3239个,1:1.6,在售
80,绿城桂语兰庭,"['项目在建', '学校', '便利店', '南北通透', '厨卫全明', '大户型', '双卫生间', '双阳台', '今年交房']",2019-12-30,住宅 70年 别墅 70年,暂无数据,49621m²,"住宅25500元/㎡(单价范围 22500-26500元/㎡), 别墅34000元/㎡",佛山市禅城区桂澜路与绿景东路交汇处,3室户型(1)，4室户型(2),69,1340,"住宅:3.5,别墅:3.5",在建中，竣工时间：2019-06-20,住宅:小高层 高层 别墅:叠加别墅,227170m²,佛山绿康置业有限公司,绿城集团,住宅 67.5万（首付比例：30%)，别墅 129万（首付比例：30%),2018-12-01,楼高32层，2梯3户设计,[禅城-奇槎]桂澜路与绿景东路交汇处,"住宅225-384万元/套, 别墅430-650万元/套",住宅:3-3.5元/平米/月,绿城物业,暂无数据,30%,暂无数据,1264户,1409个,1:1.1,在售
81,城果,"['装修交付', '学校', '银行', '便利店', '南北通透', '厨卫全明', '双卫生间', '双阳台', '主卧套房', '刚需直选']",预计2020年6月交房,住宅 70年,暂无数据,11827m²,住宅22000元/㎡(单价范围 21000-23000元/㎡),佛山市南海区夏东路,3室户型(4),暂无数据,暂无数据,住宅:3,在建中，竣工时间：2019-12-31,住宅:高层,46520m²,佛山市南海区金储贸易有限公司,暂无数据,住宅 56.7万（首付比例：30%),2019-03-16,1、2、4、5栋为高层住宅；3、6栋为商业体；7栋为社区用房,[南海-桂城]南海区夏东路,住宅189-209万元/套,住宅:2.2元/平米/月,广东顺德鹏诚物业管理有限公司,暂无数据,20%,暂无数据,360户,272个,1:0.7,在售
82,力合阳光城云谷,"['项目在建', '装修交付', '品牌开发商', '人车分流', '医院', '大户型', '双卫生间', '低单价', '今年交房']",2021-06-30,住宅 70年 别墅 70年 商业 40年,暂无数据,120000m²,"商业14000元/㎡(单价范围 12000-14000元/㎡), 住宅待定, 别墅待定",山市顺德区南方智谷新城路与致慧路交界（大自然总部旁）,3室户型(2)，4室户型(2)，商业户型(2),暂无数据,暂无数据,"住宅:2.5,别墅:2.5,商业:2.5",在建中，竣工时间：2019-01-30,住宅:高层 别墅:叠加别墅 商业 高层,400000m²,广东顺德力合智德科技园投资有限公司,广东顺德力合智德科技园投资有限公司,商业 21.5万（首付比例：50%),2018-12-09,洋房楼高26层，叠墅6层高,[顺德-大良]智城路9号,商业43-72万元/套,住宅:3元/平米/月 别墅:4.8元/平米/月 商业:3元/平米/月,阳光城物业,暂无数据,30%,暂无数据,546户,633个(A区),1:1.2,在售
83,金地艺境天成,"['项目在建', '装修交付', '品牌开发商', '人车分流', '南北通透', '厨卫全明', '大阳台', '双卫生间', '双阳台', '大户型']",2020-10-31,住宅 70年 别墅 70年,暂无数据,50913m²,"住宅7600元/㎡(单价范围 7600-8600元/㎡), 别墅待定",佛山市三水区大塘镇镇府旁,3室户型(3)，4室户型(2),暂无数据,暂无数据,"住宅:2.5,别墅:2.5",在建中，竣工时间：2019-06-30,住宅:高层 花园洋房 别墅:联排别墅 双拼别墅,176786m²,佛山市三水区傲粤房地产开发有限公司,金地集团,住宅 19.2万（首付比例：30%),2018-12-08,平层：1栋 2梯6户， 2-8栋 2梯4户 别墅：9-55栋,[三水-大塘]大塘镇镇府旁,住宅64-120万元/套,住宅:2.8元/平米/月 别墅:4.8元/平米/月,金地物业管理有限公司,暂无数据,30%,暂无数据,1182户,暂无数据,暂无数据,在售
84,阳光城丽景公馆,"['低单价', '项目在建', '装修交付', '品牌开发商', '人车分流', '旅游地产', '厨卫全明', '大阳台', '双卫生间', '主卧套房']",2020-12-30,住宅 70年,暂无数据,29900m²,住宅8400元/㎡(单价范围 7500-8400元/㎡),佛山市高明区杨和镇三和路南侧自编1号,4室户型(3)，5室户型(1),暂无数据,暂无数据,住宅:3,在建中，竣工时间：2019-12-31,住宅:高层,119000m²,佛山霆万房地产开发有限公司,暂无数据,住宅 20.7万（首付比例：30%),2018-12-08,楼高20层，2梯4户,[高明-杨和]三和路南侧自编1号,住宅69-94万元/套,住宅:2.48元/平米/月,阳光城物业集团,暂无数据,30%,暂无数据,844户,799个,1：0.9,在售
85,万冠广场,"['项目在建', '装修交付', '小型社区', '人车分流', '购物中心', '公园', '医院', '学校', '银行', '配套纯熟']",预计最快2019年年中交房,住宅 70年,暂无数据,17984m²,住宅17600-18000元/㎡,佛山市南海区里水镇里水大道中10号（艺术河畔旁）,3室户型(2)，4室户型(2),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2019-12-01,住宅:高层,83238m²,佛山市南海区万冠房地产开发有限公司,香港万冠国际,住宅 45.9万（首付比例：30%),2018-09-22,一期住宅共2栋，32层；二期商业待定。,[南海-里水]里水大道中10号,住宅153-216万元/套,住宅:2.9元/平米/月,佛山市亨信物业管理有限公司,暂无数据,20%,暂无数据,248户 (一期住宅户数),554个(小区车位总数),1:1,在售
86,碧桂园奥斯汀,"['低单价', '项目在建', '装修交付', '品牌开发商', '大型社区', '车位充足', '购物中心', '学校', '厨卫全明', '复式']",公寓预计2020年4月交房,住宅 70年 商业 40年,暂无数据,37333m²,"住宅12000元/㎡, 商业8500元/㎡(单价范围 8500-9500元/㎡)",佛山三水新动力广场1楼中庭,3室户型(2)，4室户型(1)，商业户型(2),暂无数据,暂无数据,"住宅:3.2,商业:3.2",在建中，竣工时间：2019-12-31,住宅:小高层 高层 商业 高层,147000m²,佛山市三水西南碧桂园房地产开发有限公司,暂无数据,住宅 31.5万（首付比例：30%)，商业 1.5万（首付比例：5%),2018-12-07,20-30,[三水-西南]锦江路及口岸大道交界处,"住宅105-115万元/套, 商业30-41万元/套",住宅:2.28元/平米/月,佛山市顺德区碧桂园物业发展有限公司,暂无数据,30%,暂无数据,2024户,697个,1:0.97,在售
87,碧桂园联丰天汇湾,"['项目在建', '装修交付', '高绿化率', '大型社区', '车位充足', '南北通透', '厨卫全明', '大户型', '双卫生间', '双阳台']",17栋2021年1月交房,住宅 70年,暂无数据,67816m²,住宅9300元/㎡,佛山市高明区西江新城怡乐路888号（沧江中学旁）,3室户型(3)，4室户型(3),1337,148,住宅:3,在建中，竣工时间：2019-12-31,住宅:高层,258288m²,佛山市高明区联丰置业发展有限公司,暂无数据,住宅 30.6万（首付比例：30%),2018-12-22,18栋17-32层高层洋房,[高明-荷城]西江新城怡乐路888号（沧江中学以南）,住宅102-132万元/套,住宅:1.98元/平米/月,广东碧桂园物业服务有限公司佛山高明分公司,暂无数据,36%,暂无数据,1542户,1485个,1:0.9,在售
88,招商樾园,"['项目在建', '装修交付', '品牌开发商', '大型社区', '车位充足', '人车分流', '学校', '南北通透', '厨卫全明', '双卫生间']",2020-08-31,住宅 70年,暂无数据,70500m²,住宅14000元/㎡(单价范围 12000-14000元/㎡),佛山市三水区北江新区凤凰公园南侧,3室户型(4)，4室户型(4),暂无数据,暂无数据,住宅:3.2,在建中，竣工时间：2019-06-30,住宅:高层,313767m²,招商蛇口佛山公司,招商蛇口佛山公司、九龙仓集团,住宅 34.2万（首付比例：30%),2018-11-24,楼高33层,[三水-云东海]北江新区凤凰公园南侧,住宅114-166万元/套,住宅:2.2元/平米/月,招商局物业,暂无数据,30%,暂无数据,2044户,1919个,1:0.94,在售
89,君御海城,"['低单价', '项目封顶', '装修交付', '大平层', '大型社区', '车位充足', '公园', '学校', '厨卫全明', '大户型']",2020年6月25座交房,住宅 70年,暂无数据,400000m²,住宅10000元/㎡,佛山高明区西江新城沿江路,3室户型(4)，4室户型(1)，5室户型(2),暂无数据,500,住宅:3,已封顶，竣工时间：2018-09-30,住宅:高层,1000000m²,佛山市高明富逸湾实业开发有限公司,佛山市高明富逸湾实业开发有限公司,住宅 26.4万（首付比例：30%),2018-11-24,联排 低层 小高层,[高明-荷城]沿江路,住宅88-155万元/套,住宅:2元/平米/月,第一太平戴维斯物业顾问有限公司,暂无数据,40%,暂无数据,7000户,500个,1:0.1,在售
90,金辉优步大道,"['项目在建', '装修交付', '品牌开发商', '人车分流', '南北通透', '厨卫全明', '大户型', '双卫生间', '双阳台', '主卧套房']",2020-12-31,住宅 70年,暂无数据,43000m²,住宅20000元/㎡(单价范围 20000-23000元/㎡),佛山顺德北滘潭洲国际会展中心旁,3室户型(3)，4室户型(3),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：2019-10-31,住宅:高层,142000m²,佛山市金辉房地产有限公司,金辉集团,住宅 58.8万（首付比例：30%),2018-11-24,楼高26-30层,[顺德-北滘]潭洲国际会展中心旁,住宅196-225万元/套,住宅:3元/平米/月,金辉物业,暂无数据,31%,暂无数据,984户,暂无数据,暂无数据,在售
91,润汉幸福汇广场,"['项目封顶', '装修交付', '医院', '学校', '银行', '便利店', '配套纯熟', '厨卫全明', '复式', '双卫生间']",2020-12-31,住宅 70年 商业 40年,暂无数据,27370m²,"商业16800元/㎡(单价范围 14200-19000元/㎡), 住宅待定",顺德区伦教街道南苑中路1号,商业户型(4),暂无数据,暂无数据,"住宅:4,商业:4",已封顶，竣工时间：2019-08-31,住宅:高层 商业 高层,152285m²,佛山润汉房地产开发有限公司,暂无数据,商业 20.1万（首付比例：30%),2018-12-23,1栋2梯4户共31层； 2栋2梯4户共30层； 3栋2梯4户共27层；,[顺德-伦教]南苑中路1号,商业67-117万元/套,住宅:5元/平米/月 商业:5元/平米/月,顺德区澳奇物业管理有限公司,暂无数据,21%,暂无数据,534户,550个,1:1.03,在售
92,保利诺丁山,"['今年交房', '项目在建', '装修交付', '品牌开发商', '大型社区', '人车分流', '厨卫全明', '大户型', '双卫生间', '主卧套房']",2019-04-30,住宅 70年,暂无数据,86752m²,住宅25000元/㎡,佛山市南海区三山新城港口路与环岛南路交汇处,3室户型(7)，4室户型(1),暂无数据,2600,住宅:3.29,在建中，竣工时间：2018-12-31,住宅:小高层 高层,367137m²,佛山市保利昊峰房地产有限公司,佛山市保利昊峰房地产有限公司,住宅 77.1万（首付比例：30%),2018-06-10,30-40层高层住宅,[南海-桂城]环岛南路,住宅257-337万元/套,住宅:2.47元/平米/月,保利物业发展股份有限公司,暂无数据,30%,暂无数据,2259户,2600个,1:1.2,在售
93,江山一品,"['低单价', '项目在建', '人车分流', '便利店', '厨卫全明', '大户型', '双阳台', '主卧套房', '今年交房']",2019-12-30,住宅 70年,暂无数据,66846m²,住宅13000元/㎡(单价范围 13000-13500元/㎡),佛山市南海区西樵北江大堤路6号（凰樵圣堡前）,3室户型(2)，4室户型(1),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：2016-12-30,住宅:高层,215489m²,佛山市南海区东恒商业投资管理有限公司,佛山市南海区东恒商业投资管理有限公司,住宅 34.2万（首付比例：30%),2018-04-29,33-27层,[南海-西樵]大堤路6号,住宅114-232万元/套,住宅:2元/平米/月,佛山市南海区豪信物业管理有限公司,暂无数据,34%,暂无数据,732户,1326个,1:1.8,在售
94,时代香海彼岸,"['装修交付', '品牌开发商', '大型社区', '车位充足', '人车分流', '购物中心', '便利店', '南北通透', '厨卫全明', '双卫生间']",2017-12-31,住宅 70年,暂无数据,51457m²,住宅23000元/㎡,佛山市禅城区桂澜路与绿景东路交界 佛山市禅城区桂澜路与绿景东路交汇处（半月岛湿地公园西行300米）,3室户型(2)，4室户型(2),暂无数据,1400,住宅:3.5,已竣工，交房时间：2017-06-30,住宅:高层,231041m²,时代地产佛山公司,时代地产,住宅 67.5万（首付比例：30%),2018-12-01,楼高35层，2梯4户设计,[禅城-石湾]绿景东路,住宅225-289万元/套,住宅:2.8元/平米/月,广州市时代物业管理有限公司,暂无数据,30%,暂无数据,1632户,1142个,1:0.7,在售
95,恒福天悦,"['今年交房', '低单价', '项目在建', '大型社区', '车位充足', '医院', '便利店', '厨卫全明', '大户型', '双卫生间']",2019-02-28,住宅 70年,暂无数据,58125m²,住宅14800元/㎡,南海狮山广云路303号（华立医院斜对面）,3室户型(8)，4室户型(1)，5室户型(1),暂无数据,暂无数据,住宅:3.3,在建中，竣工时间：2018-12-30,住宅:高层,271938m²,吉林省恒利房地产开发有限公司,吉林省恒利房地产开发有限公司,住宅 34.8万（首付比例：30%),2018-11-06,14栋30-31层高层洋房,[南海-狮山]广云路303号,住宅116-171万元/套,住宅:2.45元/平米/月,恒福物业管理有限公司,暂无数据,30%,暂无数据,1796户,800个,1:0.4,在售
96,恒大山湖郡,"['恒大大优惠', '项目在建', '装修交付', '品牌开发商', '大型社区', '人车分流', '旅游地产', '厨卫全明', '大户型', '双卫生间']",2020-06-30,住宅 70年 别墅 70年,暂无数据,208961m²,"住宅7000-7800元/㎡, 别墅5500-11000元/㎡",佛山市高明区泰康山风景区旁（广明高速明城出口）毗邻溢彩国际旅游度假区,1室户型(2)，3室户型(6)，4室户型(4),暂无数据,暂无数据,"住宅:2.2,别墅:2.2",在建中，竣工时间：2020-03-31,住宅:高层 别墅:双拼别墅 叠加别墅,446796m²,佛山市高明高协和房地产开发有限公司,暂无数据,住宅 18.9万（首付比例：30%)，别墅 21.9万（首付比例：30%),2017-12-31,28-31层,[高明-明城]泰康山风景区旁（广明高速明城出口）毗邻溢彩国际旅游度假区,"住宅63-111万元/套, 别墅73-354万元/套",住宅:2.47元/平米/月 别墅:3.5元/平米/月,金碧物业,暂无数据,41%,暂无数据,3666户,3627个,1:1,在售
