,id,feature,交房时间,产权年限,优惠折扣,占地面积,参考单价,售楼地址,在售户型,地上车位数,地下车位数,容  积  率,工程进度,建筑类型,建筑面积,开  发  商,投  资  商,最低首付,最新开盘,楼层状况,楼盘地址,楼盘总价,物  业  费,物业公司,环线配置,绿  化  率,装修标准,规划用户,车  位  数,车  位  比,销售情况
128,雍翠新城,"['低单价', '项目在建', '装修交付', '大型社区', '车位充足', '学校', '银行', '便利店', '厨卫全明', '大户型']",2019-12-30,住宅 70年,暂无数据,300000m²,住宅10000元/㎡,三水区乐平中心小学旁,2室户型(1)，3室户型(3)，4室户型(2),暂无数据,500,住宅:1.2,在建中，竣工时间：2019-01-30,住宅:小高层 高层,370000m²,佛山市三水钜隆房产有限公司,佛山市三水钜隆房产有限公司,住宅 13.5万（首付比例：30%),2018-10-20,板楼，低层,[三水-乐平]乐南路3号,住宅45-130万元/套,住宅:1.8元/平米/月,佛山市钜隆物业管理有限公司,暂无数据,35%,暂无数据,2074户 (总共 2000 户 当期 1000 户),500个,1:0.2,在售
129,宏宇天御江畔,"['项目在建', '装修交付', '品牌开发商', '大型社区', '车位充足', '人车分流', '学校', '大户型', '双卫生间', '主卧套房']",2020-06-30,住宅 70年,暂无数据,180000m²,住宅20000元/㎡,佛山里水镇沙涌社区居民委员会上沙涌路37号 佛山市南海区里水镇上沙涌路37号 佛山里水广佛高速沙涌出口上沙路,3室户型(2)，4室户型(2),暂无数据,500,住宅:3.97,在建中，竣工时间：2019-06-30,住宅:小高层 高层,730000m²,上港投资有限公司,佛山市上港投资有限公司,住宅 53.4万（首付比例：30%),2018-08-23,18栋住宅，楼高37-40层 。,[南海-里水]上沙路37号,住宅178-344万元/套,住宅:2.8元/平米/月,宏景物业,暂无数据,30%,暂无数据,4967户,500个,1:0.1,在售
130,瑞日天下花园,"['低单价', '项目在建', '车位充足', '人车分流', '购物中心', '商业街', '学校', '银行', '便利店', '配套纯熟']",预计2019年底交楼,住宅 70年,暂无数据,53621m²,住宅8600元/㎡,佛山市高明区荷城街道碧桂路98号,3室户型(3)，4室户型(2),暂无数据,暂无数据,住宅:2.2,在建中，竣工时间：2019-02-28,住宅:高层,190000m²,佛山市雅域房地产有限公司,暂无数据,住宅 24.6万（首付比例：30%),2018-12-01,高层,[高明-荷城]碧桂路98号,住宅82-110万元/套,住宅:1.98元/平米/月,佛山市丰成物业服务有限公司,暂无数据,33%,暂无数据,1300户,1200个,1:0.9,在售
131,滨江首府,"['项目在建', '装修交付', '品牌开发商', '人车分流', '商业街', '便利店', '厨卫全明', '大阳台', '双卫生间', '大户型']",2020-12-31,住宅 70年,暂无数据,72900m²,住宅18500元/㎡(单价范围 18000-19000元/㎡),佛山市禅城区海五路北侧、汾江路西侧,3室户型(4)，4室户型(2),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2019-11-30,住宅:高层,270000m²,佛山市融鸿房地产有限公司,融创中国,住宅 48.6万（首付比例：30%),2018-11-10,21和22层,[禅城-祖庙]海五路北侧、汾江路西侧,住宅162-239万元/套,住宅:2.8元/平米/月,融创物业服务集团有限公司,暂无数据,30%,暂无数据,暂无数据,暂无数据,暂无数据,在售
132,海骏达康格斯,"['项目在建', '大型社区', '车位充足', '人车分流', '学校', '银行', '便利店', '厨卫全明', '大户型', '双卫生间']",预计2020年年中交房,住宅 70年,暂无数据,64713m²,住宅14500元/㎡,佛山市顺德区大良105国道大良路段（大良古楼旁）,3室户型(6)，4室户型(1),暂无数据,暂无数据,住宅:2.25,在建中，竣工时间：1901-12-14,住宅:小高层 高层,260040m²,广东海骏达置业投资集团有限公司,广东海骏达置业投资集团有限公司,住宅 38.1万（首付比例：30%),2018-11-03,独栋别墅，联排，叠加，18层高，2梯6户设计,[顺德-大良]105国道,住宅127-217万元/套,住宅:1.8元/平米/月,广东金诺物业管理服务有限公司,暂无数据,40%,暂无数据,1772户,1618个,1:0.9,在售
133,绿地·拾野川,"['项目在建', '装修交付', '品牌开发商', '低容积', '大型社区', '旅游地产', '大阳台', '小户型', '热销盘', '低单价']",2020-12-31,住宅 70年 别墅 70年,暂无数据,783866m²,"别墅20000元/㎡, 住宅9000元/㎡",佛山市高明区更合镇金谷朗公交站旁,1室户型(1)，别墅户型(1),暂无数据,暂无数据,"住宅:1.2,别墅:0.25",在建中，竣工时间：2019-06-30,住宅:高层 别墅:叠加别墅,479398m²,佛山市鸿亿置业投资有限公司,绿地集团,住宅 13.5万（首付比例：30%)，别墅 57万（首付比例：30%),2018-09-08,楼高34层，2梯13户设计,[高明-更合]更合镇金谷朗公交站旁,"别墅190-310万元/套, 住宅45-72万元/套",住宅:3.5元/平米/月 别墅:3.5元/平米/月,上海绿地物业服务有限公司,暂无数据,35%,暂无数据,2401户 (一期户数),暂无数据,暂无数据,在售
134,浅水湾,"['低单价', '项目在建', '装修交付', '品牌开发商', '人车分流', '银行', '便利店', '厨卫全明', '大户型', '双卫生间']",交房待定,住宅 70年,暂无数据,36800m²,住宅13000元/㎡,佛山三水区三水新城映海路三江水韵公园旁,3室户型(3)，4室户型(5)，5室户型(1),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：暂无数据,住宅:高层,126747m²,佛山市三水融佳房地产开发有限公司,暂无数据,住宅 40.8万（首付比例：30%),2018-11-01,7栋高层住宅,[三水-三水新城]映海路三江水韵公园旁,住宅136-284万元/套,住宅:2.28元/平米/月,碧桂园物业,暂无数据,30%,暂无数据,609户,暂无数据,暂无数据,在售
135,合景天銮,"['今年交房', '项目在建', '装修交付', '大型社区', '购物中心', '厨卫全明', '大户型', '双卫生间']",2021-12-31,住宅 70年,暂无数据,92319m²,住宅24000元/㎡(单价范围 24000-25000元/㎡),佛山市顺德区北滘镇木华路与人昌路交界,3室户型(1)，4室户型(7),暂无数据,暂无数据,住宅:3.3,在建中，竣工时间：2018-06-30,住宅:高层,426334m²,佛山泓升置业有限公司,佛山泓升置业有限公司,住宅 61.2万（首付比例：30%),2019-04-06,小区共18栋住宅；高层31~32层（包括首层架空层）,[顺德-北滘]木华路2号,住宅204-470万元/套,住宅:4.3元/平米/月,宁骏物业,暂无数据,30%,暂无数据,2263户 (南区总户数1237户，北区总户数1026户),3285个,1:1.5,在售
136,美的明湖花园,"['低单价', '项目在建', '装修交付', '品牌开发商', '大型社区', '车位充足', '便利店', '厨卫全明', '大户型', '双卫生间']",2019-12-30,住宅 70年 别墅 70年,暂无数据,122000m²,"住宅12000元/㎡, 别墅待定",佛山市高明区西江新城明湖公园旁,3室户型(3)，4室户型(2)，别墅户型(1),暂无数据,800,"住宅:3.2,别墅:3.2",在建中，竣工时间：2017-03-30,住宅:小高层 高层 别墅:联排别墅 双拼别墅,500000m²,佛山市高明区新江房地产发展有限公司,佛山市高明区新江房地产发展有限公司,住宅 25.2万（首付比例：20%),2018-09-22,楼高32层,[高明-荷城]荷富大道,住宅126-170万元/套,住宅:2.45元/平米/月,美的物业管理有限公司,暂无数据,35%,暂无数据,1669户,800个,1:0.5,在售
137,佛山恒大御澜庭,"['恒大大优惠', '低单价', '项目在建', '装修交付', '品牌开发商', '大型社区', '车位充足', '旅游地产', '厨卫全明', '大户型']",2020-05-30,住宅 70年,暂无数据,95400m²,住宅9800元/㎡(单价范围 9500-11000元/㎡),佛山市三水区大塘镇新城区永泰路旁,3室户型(8)，4室户型(3),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：2019-12-31,住宅:高层,309200m²,佛山恒曜盛房地产开发有限公司,恒大集团,住宅 23.7万（首付比例：30%),2018-09-25,16栋（共20单元）26-32层的高层住宅建筑,[三水-大塘]新城区永泰路旁,住宅79-146万元/套,住宅:2.28元/平米/月,金碧物业,暂无数据,35%,暂无数据,2250户,1748个,1:0.8,在售
138,敏捷畔海御峰,"['今年交房', '项目在建', '品牌开发商', '大型社区', '车位充足', '人车分流', '学校', '厨卫全明', '大户型', '双卫生间']",2019-12-30,住宅 70年,暂无数据,500000m²,住宅22000元/㎡(单价范围 21000-22000元/㎡),顺德大良云近东区锦上路顺峰小学旁,3室户型(6)，4室户型(1),230,500,住宅:3,在建中，竣工时间：2016-11-30,住宅:高层,135000m²,佛山市敏捷房地产开发有限公司,敏捷地产,住宅 93万（首付比例：30%),2018-08-03,项目总占地逾13.5万㎡，将打造成为总建筑面积约50万㎡的山水居住型大盘：其中A区占地4.8万㎡，规划为总建面约20万㎡的6栋高层山河景观洋房、约4000㎡的社区风情商业街和近10000㎡的五星私家会所。B区占地7.5万㎡，规划为多栋高层阔景洋房。C区占地1.2万㎡拟建市政规划路。,[顺德-大良]云阳路,住宅310-341万元/套,住宅:3元/平米/月,广州完全物业,暂无数据,30%,暂无数据,1515户,500个(:2248个（地上230个+地下2018）),1:0.3,在售
139,美的西江府,"['低单价', '项目在建', '装修交付', '品牌开发商', '大型社区', '车位充足', '人车分流', '厨卫全明', '大户型', '双卫生间']",2020-06-30,住宅 70年,暂无数据,98000m²,住宅13600元/㎡,佛山市顺德区龙江镇左滩甘竹大道48号（新世纪乐园旁）,3室户型(1)，4室户型(3),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：2019-03-31,住宅:高层,330000m²,佛山市顺德区天美房产有限公司,美的地产,住宅 36.6万（首付比例：30%),2018-09-08,高层,[顺德-龙江]左滩甘竹大道48号（新世纪乐园旁）,住宅122-194万元/套,住宅:3元/平米/月,美的物业管理有限公司,暂无数据,35%,暂无数据,2113户,2149个,1:0.8,在售
140,凯蓝滨江时光,"['项目在建', '装修交付', '人车分流', '购物中心', '医院', '银行', '便利店', '配套纯熟', '双卫生间', '主卧套房']",2019-12-30,住宅 70年,暂无数据,16544m²,住宅19000元/㎡(单价范围 16000-19000元/㎡),佛山市顺德区容桂街道街道办事处东堤路以南、兴隆路以东,3室户型(1)，4室户型(7),暂无数据,暂无数据,住宅:3.6,在建中，竣工时间：2018-12-31,住宅:高层,78405m²,佛山凯蓝置业有限公司,佛山凯蓝置业有限公司,住宅 38.7万（首付比例：30%),2017-08-19,33-34层,[顺德-容桂]东堤路,住宅129-186万元/套,住宅:2.39元/平米/月,广州市萨弗物业管理有限公司（佛山分公司）,暂无数据,30%,暂无数据,656户,686个,1:1,在售
141,光明花半里,"['项目在建', '装修交付', '大型社区', '车位充足', '购物中心', '公园', '学校', '便利店', '配套纯熟', '厨卫全明']",2020-12-31,住宅 70年,暂无数据,24000m²,住宅15500元/㎡,南海区狮山镇罗村大道南1号,3室户型(6)，4室户型(3),暂无数据,暂无数据,住宅:3.1,在建中，竣工时间：2020-12-31,住宅:小高层 高层,100000m²,佛山市鼎隆基投资发展有限公司,佛山市鼎隆基投资发展有限公司,住宅 39.9万（首付比例：30%),2018-06-16,小高层,[南海-狮山]罗村大道,住宅133-248万元/套,住宅:2.2元/平米/月,豪兴物业,暂无数据,30%,暂无数据,2100户,840个,1:0.4,在售
142,中恒海晖城,"['项目在建', '装修交付', '大型社区', '车位充足', '银行', '厨卫全明', '大户型', '双卫生间', '双阳台', '主卧套房']",2019-10-30,住宅 70年,暂无数据,350000m²,住宅16000元/㎡,佛山市南海区狮山镇桂丹路99号(中恒酒店旁),3室户型(6)，4室户型(6),暂无数据,暂无数据,住宅:2.4,在建中，竣工时间：2017-03-30,住宅:高层,1000000m²,佛山市中南恒展房地产有限公司,中南恒展集团,住宅 51.6万（首付比例：30%),2018-06-27,项目总共一期开发，共22栋中高层洋房，其中有4栋17层及18栋11层组成，户型面积50-140㎡，合计870套。,[南海-狮山]桂丹路,住宅172-232万元/套,住宅:2.45元/平米/月,中恒酒店物业管理公司,暂无数据,30%,暂无数据,6201户,1300个,1:0.2,在售
143,东建锦绣龙湾,"['今年交房', '低单价', '项目在建', '装修交付', '大型社区', '人车分流', '便利店', '南北通透', '厨卫全明', '大户型']",2019-06-30,住宅 70年,暂无数据,83000m²,住宅13000元/㎡(单价范围 12000-14000元/㎡),佛山市南海区西樵镇樵高路3号（江滨花园旁）,3室户型(2)，4室户型(4)，5室户型(1),暂无数据,3000,住宅:2.5,在建中，竣工时间：2018-06-30,住宅:小高层 高层,315958m²,佛山市东建集团有限公司,佛山市东建集团有限公司,住宅 45万（首付比例：30%),2018-03-16,30-32层,[南海-西樵]碧霞一路,住宅150-260万元/套,住宅:2元/平米/月,豪信物业,暂无数据,30%,暂无数据,2387户,3000个,1:1.3,在售
144,时代家,"['项目在建', '装修交付', '品牌开发商', '人车分流', '购物中心', '商业街', '便利店', '厨卫全明', '大阳台', '双卫生间']",2019-08-30,住宅 70年 商业 40年,暂无数据,40793m²,"住宅22000元/㎡, 商业待定",佛山里水大道中56号（万利广场旁）,3室户型(2)，4室户型(2),暂无数据,暂无数据,住宅:3.3,在建中，竣工时间：2017-05-01,住宅:高层 商业 高层,181658m²,佛山市时代天宇房地产开发有限公司,时代地产,住宅 49.2万（首付比例：30%),2018-04-30,高层,[南海-里水]里水大道中56号,住宅164-256万元/套,住宅:2.9元/平米/月,时代地产物业,暂无数据,30%,暂无数据,1086户,1137个,1:1,在售
145,藏珑华府,"['项目在建', '装修交付', '大型社区', '车位充足', '人车分流', '厨卫全明', '大户型', '双卫生间', '双阳台', '今年交房']",2020-07-30,住宅 70年,暂无数据,202600m²,住宅21000元/㎡(单价范围 21000-23500元/㎡),佛山市顺德区广珠西线石洲出口西侧800米（国通总部旁）,3室户型(7)，4室户型(4),暂无数据,1200,住宅:2.87,在建中，竣工时间：2018-07-31,住宅:高层,800000m²,广东宏泰国通地产有限公司,广东国兴房地产开发有限公司,住宅 62.1万（首付比例：30%),2017-09-10,楼高31层，2梯4户设计,[顺德-陈村]伟业大道,住宅207-293万元/套,住宅:3元/平米/月,国瑞物业,暂无数据,35%,暂无数据,3812户,3050个,1:0.8,在售
146,悦珑湖,"['低单价', '项目在建', '装修交付', '大型社区', '车位充足', '人车分流', '学校', '厨卫全明', '大户型', '双卫生间']",2018-12-30,住宅 70年,暂无数据,76791m²,住宅14000元/㎡(单价范围 12500-14000元/㎡),佛山市南海区西樵镇碧霞三路2号,3室户型(4)，4室户型(2),暂无数据,800,住宅:3.2,在建中，竣工时间：2018-10-31,住宅:小高层 高层,357022m²,佛山市丰鼎盛地产开发有限公司,佛山市丰鼎盛地产开发有限公司,住宅 39.9万（首付比例：30%),2017-10-01,楼高32层，2梯5户设计,[南海-西樵]崇民西路,住宅133-198万元/套,住宅:2.1元/平米/月,佛山市嘉豪物业管理有限公司,暂无数据,30%,暂无数据,2100户,800个(车位共2500个),1:0.4,在售
147,童梦天下,"['项目在建', '大型社区', '购物中心', '便利店', '复式', '大户型', '双卫生间', '主卧套房', '人气楼盘']",预计2021年交楼,住宅 70年 商业 40年,暂无数据,50074m²,"商业16000元/㎡(单价范围 14000-16000元/㎡), 住宅待定",禅城区季华一路29号北侧,3室户型(6)，4室户型(2)，商业户型(5),285,2994,"住宅:4.12,商业:4.12",在建中，竣工时间：2019-11-30,住宅:小高层 高层 商业 高层,300000m²,佛山市莲塘房地产开发有限公司,佛山市莲塘房地产开发有限公司,商业 29万（首付比例：50%),2018-10-01,"住宅T5,T6，2梯5户，T7 两梯六户；公寓T2 4梯22户，T1,T2,T3 3梯17户。",[禅城-南庄]季华二路,商业58-105万元/套,住宅:2.8元/平米/月 商业:4.3元/平米/月,佛山市东业物业管理有限公司,暂无数据,25%,暂无数据,2500户,3279个,1:1.3,在售
148,和丰颖苑,"['低单价', '项目在建', '装修交付', '车位充足', '旅游地产', '公园', '厨卫全明', '大户型', '小户型', '双卫生间']",2019-12-30,住宅 70年,暂无数据,65000m²,住宅11500元/㎡(单价范围 11500-12000元/㎡),南海区丹灶镇仙湖度假区,2室户型(1)，3室户型(4)，4室户型(2)，5室户型(2),暂无数据,500,住宅:1.2,在建中，竣工时间：2017-12-30,住宅:多层 小高层 高层,118000m²,和丰颖苑房地产开发有限公司,和丰置业（佛山）有限公司,住宅 9.2万（首付比例：20%),2017-11-11,多层 小高层,[南海-丹灶]养生路,住宅46-152万元/套,住宅:2.5元/平米/月,和丰物业,暂无数据,35%,暂无数据,900户,500个,1:0.6,在售
149,中海雍景熙岸,"['项目在建', '装修交付', '大平层', '车位充足', '南北通透', '三房朝南', '厨卫全明', '大户型', '大阳台', '低单价']",预计2020年交房,住宅 70年,暂无数据,63000m²,住宅13500元/㎡,佛山市顺德区均安镇百安北路30号,3室户型(2)，4室户型(2),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2019-12-30,住宅:小高层 高层,250000m²,中海地产（佛山）有限公司,暂无数据,住宅 35.4万（首付比例：30%),2018-07-29,39层超高层，15层高层,[顺德-均安]百安北路30号,住宅118-191万元/套,住宅:2.95元/平米/月,中海物业,暂无数据,30%,暂无数据,1500户,1300个,1:0.9,在售
150,中海万锦世家,"['项目在建', '装修交付', '品牌开发商', '人车分流', '购物中心', '商业街', '学校', '便利店', '配套纯熟', '厨卫全明']",2019-12-30,住宅 70年,暂无数据,24000m²,住宅17500元/㎡(单价范围 16500-18500元/㎡),佛山南海狮山官窑瑶平路,3室户型(2)，4室户型(1),暂无数据,600,住宅:2.8,在建中，竣工时间：2019-03-30,住宅:高层,96000m²,佛山海创房地产开发有限公司,暂无数据,住宅 49.5万（首付比例：30%),2018-05-20,6栋26层住宅，其中1#、2#、6#、7#栋住宅首层为商业,[南海-狮山]官窑瑶平路,住宅165-259万元/套,住宅:3元/平米/月,中海物业,暂无数据,31%,暂无数据,586户,600个,1:1,在售
151,北大资源颐和博雅,"['低单价', '项目在建', '装修交付', '品牌开发商', '高绿化率', '大型社区', '人车分流', '公园', '大户型']",2020-06-30,住宅 70年,暂无数据,76150m²,住宅9500元/㎡(单价范围 9500-9900元/㎡),佛山市三水区西南街道文锋西路花果山,3室户型(1)，4室户型(1),暂无数据,暂无数据,住宅:3.81,在建中，竣工时间：2019-11-30,住宅:高层,363305m²,暂无数据,暂无数据,住宅 31.8万（首付比例：30%),2018-11-24,32-45层,[三水-西南]文锋西路花果山,住宅106-143万元/套,住宅:2.28元/平米/月,北京北大资源物业经营管理有限公司佛山分公司,暂无数据,50%,暂无数据,2170户,2796个,1:1.28,在售
152,天晟海琴湾,"['独栋别墅', '双拼别墅', '花园洋房', '低单价', '江景地产', '改善置业', '车位充足', '学校', '厨卫全明', '大户型']",2016-12-01,住宅 70年 别墅 70年,暂无数据,36000m²,"住宅12000元/㎡, 别墅21000元/㎡",南海丹灶镇金沙天晟海琴湾(金沙大桥附近),3室户型(2)，4室户型(4),暂无数据,400,"住宅:0.73,别墅:0.73",已竣工，交房时间：2014-05-01,住宅:高层 别墅:独栋别墅 双拼别墅,300000m²,佛山市南海天晟地产有限公司,佛山市南海天晟地产有限公司,住宅 35.4万（首付比例：20%)，别墅 109.2万（首付比例：20%),2015-10-01,独栋别墅 双拼 高层,[南海-丹灶]明沙中路,"住宅177-231万元/套, 别墅546-1707万元/套",住宅:2.3元/平米/月 别墅:3.2元/平米/月,佛山兴兆物业管理有限公司,暂无数据,45%,暂无数据,1000户,509个,1:0.5,在售
153,中粮珑湾祥云,"['项目在建', '装修交付', '人车分流', '公园', '南北通透', '厨卫全明', '双卫生间', '双阳台', '主卧套房', '热评楼盘']",预计2021年交房,住宅 70年,暂无数据,22854m²,住宅24000元/㎡(单价范围 23000-25000元/㎡),佛山市禅城区华祥路12号,3室户型(1)，4室户型(2),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2020-12-31,住宅:高层,79990m²,佛山市淦盈置业有限公司,暂无数据,住宅 66万（首付比例：30%),2019-01-19,楼高29-32层,[禅城-奇槎]华祥路12号,住宅220-335万元/套,住宅:2.7元/平米/月,中粮地产集团深圳物业管理有限公司,暂无数据,30%,暂无数据,656户,760个,1:1.5,在售
154,碧桂园美的水木清华,"['项目在建', '装修交付', '品牌开发商', '车位充足', '人车分流', '学校', '厨卫全明', '大户型', '双卫生间', '主卧套房']",预计2020年2月21日前交房,住宅 70年,暂无数据,20000m²,住宅12500元/㎡(单价范围 12000-13000元/㎡),顺德杏坛镇新齐宁路与古海路的交界处（英杰思幼儿园、昌教小学旁）,3室户型(1)，4室户型(2),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：2019-10-30,住宅:高层,51000m²,佛山市顺德区美智房产有限公司,暂无数据,住宅 32.4万（首付比例：30%),2018-07-28,楼高20层，2梯6户设计,[顺德-杏坛]新齐宁路与古海路的交界处（英杰思幼儿园、昌教小学旁）,住宅108-150万元/套,住宅:2.98元/平米/月,碧桂园物业,暂无数据,30%,暂无数据,500户,暂无数据,1:0.83,在售
155,保利玥府,"['项目在建', '装修交付', '品牌开发商', '大型社区', '人车分流', '南北通透', '厨卫全明', '大阳台', '双卫生间', '双阳台']",2020-09-30,住宅 70年,暂无数据,69000m²,住宅12000元/㎡(单价范围 11000-12000元/㎡),佛山市高明区西江新城丽景东路保利玥府售楼部,3室户型(1)，4室户型(3),暂无数据,暂无数据,住宅:2.8,在建中，竣工时间：2020-06-30,住宅:高层,260500m²,佛山市骏隆房地产有限公司,暂无数据,住宅 34.5万（首付比例：30%),2018-10-26,高层,[高明-荷城]西江新城丽景东路与荷富大道交汇处（高明体育中心旁）,住宅115-168万元/套,住宅:2.47元/平米/月,保利物业,暂无数据,30%,暂无数据,1656户,2103个,1:1.3,在售
156,美的峯境,"['低单价', '项目在建', '装修交付', '人车分流', '厨卫全明', '大户型', '双卫生间']",预计2021年年中1座交楼,住宅 70年,暂无数据,23000m²,住宅10000元/㎡,三水区白坭镇科技大道5号,3室户型(1)，4室户型(1),388,37,住宅:2.3,在建中，竣工时间：2019-12-31,住宅:高层,68000m²,佛山市三水区美诺房地产开发有限公司,美的地产,住宅 28.5万（首付比例：30%),2018-09-22,楼高25-26层,[三水-白坭]科技大道5号,住宅95-128万元/套,住宅:2.28元/平米/月,美的物业管理有限公司,暂无数据,35%,暂无数据,492户,425个,1：0.8,在售
157,万科尚都荟,"['今年交房', '项目在建', '装修交付', '车位充足', '人车分流', '购物中心', '商业街', '银行', '厨卫全明', '复式']",预计2019年12月交房,住宅 70年 商业 40年,暂无数据,13717m²,"商业18000元/㎡, 住宅待定",佛山市南海区桂城街道桂澜路与季华路交界鹏瑞利广场对面,3室户型(2)，商业户型(1),暂无数据,暂无数据,"住宅:5.2,商业:5.2",在建中，竣工时间：2019-02-28,住宅:小高层 高层 商业 小高层 高层,82573m²,万柏房地产有限公司,暂无数据,暂无数据 [房贷计算器],2018-06-30,1座共28层，2座27层,[南海-桂城]季华路商务区与桂澜路千米长廊板块,商业106万元/套,住宅:2.85元/平米/月 商业:3.5元/平米/月,佛山万科物业有限公司,暂无数据,25%,暂无数据,965户 (住宅：96套 公寓：872套),353个(配置标准住宅1个/100㎡，办公及商业0.5个/100㎡),1:0.36,在售
158,广乐颐景园,"['低单价', '项目在建', '装修交付', '车位充足', '人车分流', '学校', '银行', '南北通透', '厨卫全明', '大户型']",2019-12-31,住宅 70年,暂无数据,30000m²,住宅9500元/㎡,三水区乐平镇礼仪大道111号,3室户型(2)，4室户型(1),暂无数据,暂无数据,住宅:3,在建中，竣工时间：2019-06-30,住宅:高层,90000m²,佛山茂国房地产有限公司,暂无数据,住宅 27万（首付比例：30%),2018-10-13,32层,[三水-乐平]礼仪大道111号,住宅90-109万元/套,住宅:2.28元/平米/月,浙江颐景园物业服务有限公司,暂无数据,30%,暂无数据,836户,暂无数据,1:0.8,在售
159,美的领贤公馆,"['今年交房', '项目在建', '装修交付', '品牌开发商', '大型社区', '车位充足', '人车分流', '厨卫全明', '双卫生间', '主卧套房']",2020-06-30,住宅 70年,暂无数据,51836m²,住宅24500元/㎡(单价范围 24000-25000元/㎡),佛山市顺德区北滘镇美的大道和土荫路交界处,3室户型(3),暂无数据,暂无数据,住宅:3.5,在建中，竣工时间：2018-08-30,住宅:高层,251467m²,暂无数据,美的地产,住宅 63.9万（首付比例：30%),2018-07-21,32-34层,[顺德-北滘]美的大道,住宅213-222万元/套,住宅:2.8元/平米/月,美的物业,暂无数据,35%,暂无数据,2016户,1695个,1:0.8,在售
160,恒大滨江御府,"['恒大大优惠', '项目在建', '装修交付', '品牌开发商', '人车分流', '学校', '银行', '大户型', '今年交房', '低单价']",2020-06-30,住宅 70年,暂无数据,29000m²,住宅13000元/㎡(单价范围 12000-14000元/㎡),佛山市南海区九江镇江滨新区儒林中学旁（江滨路和江滨八路交汇处）,3室户型(1)，4室户型(4),暂无数据,暂无数据,住宅:2.5,在建中，竣工时间：2019-06-30,住宅:高层,72000m²,佛山市南海南力房地产开发有限公司,恒大集团,住宅 38.1万（首付比例：30%),2018-08-05,31层,[南海-九江]江滨新区儒林中学旁（江滨路和江滨八路交汇处）,住宅127-291万元/套,住宅:3.04元/平米/月,金碧物业集团有限公司,暂无数据,35%,暂无数据,551户,728个,1：1.2,在售
161,万科城市之光,"['今年交房', '项目在建', '装修交付', '品牌开发商', '高绿化率', '大型社区', '车位充足', '人车分流', '学校', '便利店']",2019-05-30,住宅 70年,暂无数据,72711m²,住宅16000元/㎡,佛山市南海区狮山镇光明新城罗村大道中（长信银湾北侧）,3室户型(2)，4室户型(1),暂无数据,400,住宅:2.5,在建中，竣工时间：2018-06-30,住宅:高层,228312m²,融粤房地产开发有限公司,佛山市南海区融粤房地产有限公司,住宅 42.6万（首付比例：30%),2018-04-14,20层,[南海-狮山]罗村大道中,住宅142-145万元/套,住宅:2.85元/平米/月,万科物业,暂无数据,35%,暂无数据,551户,400个,1:0.2,在售
